seq,count
好吃,41114
素食,27079
餐點,13134
不錯,11334
服務,10837
環境,10792
餐廳,10024
美味,9817
價格,9597
菜色,9298
料理,9086
口味,8239
很好吃,7330
親切,7223
用餐,7099
味道,6512
蔬食,6470
推薦,5575
食材,5108
乾淨,4539
很好,4410
便宜,4376
喜歡,4225
健康,4218
新鮮,4114
份量,3935
很棒,3841
舒適,3801
值得,3771
用心,3666
態度,3588
讚,3313
多樣,3191
特別,3007
豐富,2967
平價,2921
不錯吃,2917
臭豆腐,2843
價位,2833
精緻,2689
適合,2688
人員,2667
cp值,2416
超好吃,2408
湯頭,2316
停車,2280
實在,2273
氣氛,2270
