seq,count
好吃,258119
服務,181859
不錯,89193
新鮮,80675
食材,58069
餐點,53014
價格,52379
親切,51915
態度,46382
環境,45735
很好,45481
用餐,44686
拉麵,43515
很好吃,38505
壽司,37483
cp值,35729
人員,35443
美味,35366
湯頭,33425
味道,33416
口味,32215
料理,31715
讚,29639
份量,27201
推薦,27160
很棒,25602
氣氛,22161
日式,21902
值得,21663
品質,21320
喜歡,20513
價位,20371
便宜,19080
平價,18689
不錯吃,18316
生魚片,17317
時間,16514
普通,16511
適合,16110
佳,15838
咖哩,15411
速度,15263
乾淨,15258
肉質,15082
牛肉,14749
套餐,14596
舒適,14099
