seq,count
好吃,87341
餐點,44365
蛋餅,28002
不錯,24417
服務,24335
環境,21422
親切,19266
價格,17557
早餐,17113
早餐店,13753
很好吃,13528
美味,13402
態度,13125
份量,12049
吐司,11269
用餐,10557
便宜,10313
口味,10015
味道,9939
早午餐,9852
很好,9684
推薦,9016
豆漿,8699
舒適,8183
喜歡,8005
cp值,7776
乾淨,7711
不錯吃,7695
飲料,7165
好喝,7094
蛋,6824
漢堡,6641
特別,6594
讚,6520
普通,5998
用心,5827
新鮮,5796
值得,5784
速度,5588
很棒,5518
超好吃,5391
人員,5341
氣氛,5173
實在,5066
紅茶,4939
時間,4859
出餐,4803
套餐,4735
