seq,count
好吃,476312
服務,242035
不錯,165034
新鮮,131882
價格,108592
環境,94872
食材,87002
口味,78095
味道,77244
用餐,76358
親切,75827
餐點,73326
態度,69508
美味,68516
湯頭,67695
很好,64278
很好吃,63229
菜色,61679
讚,57780
推薦,51160
人員,48834
cp值,48580
份量,46582
便宜,44652
海鮮,44019
料理,44006
牛肉麵,41123
不錯吃,40519
值得,39839
牛肉,39153
很棒,38691
乾淨,35726
火鍋,34305
普通,33500
價位,33301
喜歡,33132
實在,32022
聚餐,31210
適合,30865
平價,29784
停車,29028
特別,26527
好喝,25502
佳,25243
舒適,25010
時間,24936
