seg,count
好吃,29184
不錯,10366
服務,10363
餐點,7460
價格,6345
環境,6101
口味,4947
親切,4881
新鮮,4378
味道,4367
用餐,4276
態度,4005
美味,3886
菜色,3884
很好吃,3639
料理,3408
客家,3254
份量,3222
食材,3210
便宜,3201
推薦,3164
不錯吃,3143
很好,2959
cp值,2771
讚,2654
湯頭,2429
停車,2428
乾淨,2369
平價,2359
值得,2264
普通,2198
方便,2151
人員,2106
實在,1914
適合,1869
美食,1867
很棒,1831
價位,1785
水餃,1783
喜歡,1762
速度,1670
客家菜,1653
舒適,1653
道地,1619
特色,1589
快,1583
客人,1534
