seg,count
好吃,25897
服務,12404
餐點,9734
不錯,9038
環境,6352
價格,5998
新鮮,5737
親切,5543
用餐,5503
態度,4980
份量,4749
食材,4177
美味,3912
很好吃,3894
cp值,3798
口味,3630
很好,3579
唐揚,3243
雞,3225
味道,3221
推薦,3201
料理,2950
便宜,2719
人員,2631
值得,2557
讚,2406
乾淨,2346
平價,2301
湯頭,2252
很棒,2205
菜色,2134
店家,2081
嘉義,2053
不錯吃,2042
時間,1997
價位,1972
飯,1953
停車,1851
舒適,1847
感覺,1835
氣氛,1823
適合,1736
實在,1735
喜歡,1730
佳,1710
普通,1588
咖哩,1483
聚餐,1471
好喝,1438
