seg,count
好吃,221149
服務,133412
不錯,74047
餐點,70137
環境,50771
親切,44871
價格,41824
新鮮,40549
用餐,38781
態度,35787
很好,34687
美味,33693
很好吃,33077
食材,31896
口味,31685
人員,29074
味道,28582
份量,27489
cp值,24464
料理,23974
推薦,23378
讚,22665
很棒,21973
湯頭,20314
氣氛,18438
值得,18104
菜色,17717
喜歡,17557
適合,16796
不錯吃,16778
舒適,15965
便宜,15500
平價,15445
價位,15436
乾淨,14302
牛肉,14022
佳,13754
普通,13539
停車,13287
聚餐,13083
好喝,12712
套餐,12603
品質,12323
客人,12072
時間,12014
特別,11979
超好吃,11815
實在,11593
