seg,count
好吃,11646
服務,10126
新鮮,4575
不錯,4481
餐點,3177
親切,3033
價格,2972
態度,2685
很好,2594
環境,2325
食材,2301
海鮮,2122
餐廳,1787
讚,1723
美味,1703
很好吃,1697
口味,1605
cp值,1552
基隆,1499
味道,1465
便宜,1371
人員,1342
很棒,1341
推薦,1338
菜色,1280
料理,1238
份量,1179
值得,1077
不錯吃,996
價位,953
水餃,926
實在,915
平價,883
氣氛,876
適合,845
佳,831
停車,812
聚餐,797
乾淨,785
方便,747
普通,729
湯頭,728
舒適,709
喜歡,676
服務員,662
服務生,648
品質,646
速度,638
