seg,count
好吃,110789
服務,59199
不錯,36688
餐點,30679
環境,25061
新鮮,23058
價格,22017
親切,20837
態度,18822
用餐,17664
很好,16444
口味,16327
美味,15968
很好吃,15965
食材,15885
味道,14778
讚,12492
人員,11910
料理,11572
便宜,11338
份量,11116
推薦,11106
餐廳,10957
cp值,10902
湯頭,10843
很棒,10124
氣氛,9572
平價,8534
值得,8453
菜色,8453
不錯吃,8445
喜歡,8142
乾淨,7979
適合,7845
牛肉,7701
停車,7673
價位,7640
舒適,7538
佳,7106
聚餐,6624
實在,6229
好喝,6166
普通,6033
方便,5969
特別,5888
海鮮,5877
超好吃,5711
速度,5708
