seg,count
好吃,22591
服務,10037
不錯,8011
餐點,6727
環境,5542
新鮮,5431
價格,4984
親切,4580
食材,3734
用餐,3716
態度,3498
美味,3252
很好吃,3036
口味,2936
很好,2909
讚,2696
味道,2692
便宜,2678
cp值,2642
料理,2596
份量,2400
推薦,2366
菜色,2299
平價,2113
乾淨,2110
湯頭,2095
值得,1987
不錯吃,1952
人員,1868
適合,1825
舒適,1795
很棒,1793
停車,1721
實在,1686
聚餐,1618
價位,1603
氣氛,1598
喜歡,1442
牛肉,1439
感覺,1414
佳,1386
方便,1314
用心,1291
飲料,1277
普通,1243
火鍋,1232
速度,1220
海鮮,1213
