seg,count
好吃,46396
服務,13848
不錯,12535
新鮮,12486
價格,10271
餐點,10052
環境,9335
親切,6751
美味,6571
用餐,6251
口味,6010
很好吃,5764
便宜,5674
讚,5636
態度,5612
料理,5529
食材,5513
味道,5324
推薦,4904
份量,4473
很好,4382
菜色,4094
cp值,3681
牛肉,3638
值得,3542
海鮮,3528
不錯吃,3516
平價,3320
乾淨,3241
很棒,3169
人員,3167
湯頭,3080
停車,3074
生魚片,3050
適合,2900
豬腳,2879
實在,2822
超好吃,2663
蝦,2633
價位,2623
舒適,2617
氣氛,2575
喜歡,2533
普通,2323
快,2296
火鍋,2251
好喝,2182
美食,2175
