seg,count
好吃,65212
服務,25137
新鮮,21335
不錯,19716
價格,15286
餐點,13816
環境,12935
親切,11647
食材,11311
美味,10439
用餐,9657
很好吃,9153
口味,9124
味道,8898
海鮮,8341
料理,8111
態度,7800
cp值,7734
推薦,7732
讚,7567
份量,7427
很好,7187
菜色,7142
宜蘭,6782
便宜,6644
值得,6518
人員,5766
湯頭,5675
雞,5471
很棒,5349
不錯吃,4885
乾淨,4836
適合,4721
實在,4636
舒適,4511
停車,4445
喜歡,4403
特別,4248
普通,4204
價位,4188
平價,4179
感覺,4087
方便,3669
用心,3576
特色,3532
超好吃,3496
氣氛,3215
