seg,count
好吃,161678
服務,85965
不錯,51877
餐點,46021
環境,34005
價格,33152
新鮮,31209
親切,28025
用餐,26521
態度,26215
口味,24451
美味,23500
很好,23068
很好吃,22810
味道,22509
食材,22457
人員,18594
便宜,16565
份量,16426
推薦,16258
料理,15994
讚,15944
cp值,15468
餐廳,15456
湯頭,14404
很棒,14069
氣氛,13280
平價,12788
值得,12598
不錯吃,12545
喜歡,12365
菜色,12345
適合,11108
價位,10883
佳,10443
感覺,10397
乾淨,10118
舒適,9999
牛肉,9861
海鮮,9187
聚餐,9160
高雄,9045
實在,8967
普通,8957
好喝,8819
超好吃,8602
特別,8461
時間,8437
停車,8156
