seg,count
好吃,72887
服務,34890
不錯,29101
餐點,20427
環境,16838
價格,16552
口味,13201
新鮮,12640
味道,12043
用餐,12035
親切,11213
美味,10644
很好吃,10585
食材,10572
很好,9953
份量,9644
態度,9576
cp值,8580
料理,8132
推薦,8123
讚,7185
湯頭,7033
人員,6754
氣氛,6621
適合,6552
不錯吃,6475
價位,6343
很棒,6268
喜歡,5866
菜色,5796
值得,5597
普通,5516
乾淨,5475
牛肉,5468
舒適,5409
停車,4862
聚餐,4811
便宜,4716
牛肉麵,4637
新竹,4571
特別,4478
佳,4387
海鮮,4281
品質,4194
小菜,4089
平價,3936
方便,3920
實在,3917
